"position","row_id","entrez_id","symbol","group","source"
196,"gene604","604","BCL6","CUR_01","Reactome (reactome.db 1.95.0)"
197,"gene3553","3553","IL1B","CUR_06","Reactome (reactome.db 1.95.0)"
198,"gene9148","9148","NEURL1","CUR_01","Reactome (reactome.db 1.95.0)"
199,"gene1240","1240","CMKLR1","CUR_02","Reactome (reactome.db 1.95.0)"
200,"gene2180","2180","ACSL1","CUR_03","Reactome (reactome.db 1.95.0)"
201,"gene8972","8972","MGAM","CUR_04","Reactome (reactome.db 1.95.0)"
202,"gene1808","1808","DPYSL2","CUR_16","Reactome (reactome.db 1.95.0)"
203,"gene2353","2353","FOS","CUR_07","Reactome (reactome.db 1.95.0)"
204,"gene1521","1521","CTSW","CUR_10","Reactome (reactome.db 1.95.0)"
205,"gene5920","5920","PLAAT4","CUR_03","Reactome (reactome.db 1.95.0)"
206,"gene6319","6319","SCD","CUR_03","Reactome (reactome.db 1.95.0)"
207,"gene973","973","CD79A","CUR_06","Reactome (reactome.db 1.95.0)"
208,"gene9256","9256","TSPOAP1","CUR_03","Reactome (reactome.db 1.95.0)"
209,"gene4609","4609","MYC","CUR_01","Reactome (reactome.db 1.95.0)"
210,"gene4145","4145","MATK","CUR_12","Reactome (reactome.db 1.95.0)"
211,"gene10346","10346","TRIM22","CUR_13","Reactome (reactome.db 1.95.0)"
212,"gene3117","3117","HLA-DQA1","CUR_13","Reactome (reactome.db 1.95.0)"
213,"gene3934","3934","LCN2","CUR_04","Reactome (reactome.db 1.95.0)"
214,"gene23608","23608","MKRN1","CUR_18","Reactome (reactome.db 1.95.0)"
215,"gene9435","9435","CHST2","CUR_05","Reactome (reactome.db 1.95.0)"
216,"gene1545","1545","CYP1B1","CUR_03","Reactome (reactome.db 1.95.0)"
217,"gene92745","92745","SLC38A5","CUR_09","Reactome (reactome.db 1.95.0)"
218,"gene2205","2205","FCER1A","CUR_04","Reactome (reactome.db 1.95.0)"
219,"gene6133","6133","RPL9","CUR_14","Reactome (reactome.db 1.95.0)"
220,"gene4035","4035","LRP1","CUR_10","Reactome (reactome.db 1.95.0)"
221,"gene56994","56994","CHPT1","CUR_03","Reactome (reactome.db 1.95.0)"
222,"gene338442","338442","HCAR2","CUR_02","Reactome (reactome.db 1.95.0)"
223,"gene1053","1053","CEBPE","CUR_16","Reactome (reactome.db 1.95.0)"
224,"gene5204","5204","PFDN5","CUR_08","Reactome (reactome.db 1.95.0)"
225,"gene93010","93010","B3GNT7","CUR_08","Reactome (reactome.db 1.95.0)"
226,"gene3759","3759","KCNJ2","CUR_09","Reactome (reactome.db 1.95.0)"
227,"gene9510","9510","ADAMTS1","CUR_08","Reactome (reactome.db 1.95.0)"
228,"gene3113","3113","HLA-DPA1","CUR_13","Reactome (reactome.db 1.95.0)"
229,"gene10905","10905","MAN1A2","CUR_10","Reactome (reactome.db 1.95.0)"
230,"gene3315","3315","HSPB1","CUR_12","Reactome (reactome.db 1.95.0)"
231,"gene6193","6193","RPS5","CUR_17","Reactome (reactome.db 1.95.0)"
232,"gene7001","7001","PRDX2","CUR_01","Reactome (reactome.db 1.95.0)"
233,"gene10602","10602","CDC42EP3","CUR_11","Reactome (reactome.db 1.95.0)"
234,"gene6285","6285","S100B","CUR_07","Reactome (reactome.db 1.95.0)"
235,"gene196","196","AHR","CUR_03","Reactome (reactome.db 1.95.0)"
236,"gene1524","1524","CX3CR1","CUR_02","Reactome (reactome.db 1.95.0)"
237,"gene9588","9588","PRDX6","CUR_04","Reactome (reactome.db 1.95.0)"
238,"gene4311","4311","MME","CUR_04","Reactome (reactome.db 1.95.0)"
239,"gene55831","55831","EMC3","CUR_11","Reactome (reactome.db 1.95.0)"
240,"gene9935","9935","MAFB","CUR_16","Reactome (reactome.db 1.95.0)"
241,"gene2015","2015","ADGRE1","CUR_02","Reactome (reactome.db 1.95.0)"
242,"gene10435","10435","CDC42EP2","CUR_11","Reactome (reactome.db 1.95.0)"
243,"gene2030","2030","SLC29A1","CUR_09","Reactome (reactome.db 1.95.0)"
244,"gene4012","4012","LNPEP","CUR_18","Reactome (reactome.db 1.95.0)"
245,"gene3162","3162","HMOX1","CUR_06","Reactome (reactome.db 1.95.0)"
246,"gene51312","51312","SLC25A37","CUR_05","Reactome (reactome.db 1.95.0)"
247,"gene2091","2091","FBL","CUR_06","Reactome (reactome.db 1.95.0)"
248,"gene5196","5196","PF4","CUR_02","Reactome (reactome.db 1.95.0)"
249,"gene3820","3820","KLRB1","CUR_15","Reactome (reactome.db 1.95.0)"
250,"gene23129","23129","PLXND1","CUR_11","Reactome (reactome.db 1.95.0)"
251,"gene59283","59283","CACNG8","CUR_09","Reactome (reactome.db 1.95.0)"
252,"gene84034","84034","EMILIN2","CUR_12","Reactome (reactome.db 1.95.0)"
253,"gene6231","6231","RPS26","CUR_17","Reactome (reactome.db 1.95.0)"
254,"gene6235","6235","RPS29","CUR_17","Reactome (reactome.db 1.95.0)"
255,"gene90480","90480","GADD45GIP1","CUR_05","Reactome (reactome.db 1.95.0)"
256,"gene64407","64407","RGS18","CUR_02","Reactome (reactome.db 1.95.0)"
257,"gene5144","5144","PDE4D","CUR_02","Reactome (reactome.db 1.95.0)"
258,"gene84333","84333","PCGF5","CUR_01","Reactome (reactome.db 1.95.0)"
259,"gene203","203","AK1","CUR_05","Reactome (reactome.db 1.95.0)"
260,"gene3560","3560","IL2RB","CUR_07","Reactome (reactome.db 1.95.0)"
261,"gene5866","5866","RAB3IL1","CUR_10","Reactome (reactome.db 1.95.0)"
262,"gene925","925","CD8A","CUR_15","Reactome (reactome.db 1.95.0)"
263,"gene939","939","CD27","CUR_13","Reactome (reactome.db 1.95.0)"
264,"gene1028","1028","CDKN1C","CUR_01","Reactome (reactome.db 1.95.0)"
265,"gene11224","11224","RPL35","CUR_14","Reactome (reactome.db 1.95.0)"
266,"gene7850","7850","IL1R2","CUR_07","Reactome (reactome.db 1.95.0)"
267,"gene54438","54438","GFOD1","CUR_11","Reactome (reactome.db 1.95.0)"
268,"gene7045","7045","TGFBI","CUR_08","Reactome (reactome.db 1.95.0)"
269,"gene83716","83716","CRISPLD2","CUR_04","Reactome (reactome.db 1.95.0)"
270,"gene5729","5729","PTGDR","CUR_02","Reactome (reactome.db 1.95.0)"
271,"gene2791","2791","GNG11","CUR_02","Reactome (reactome.db 1.95.0)"
