"position","row_id","entrez_id","symbol","group","source"
305,"gene23365","23365","ARHGEF12","FM_01","scGPT"
306,"gene6726","6726","SRP9","FM_06","scGPT"
307,"gene3122","3122","HLA-DRA","FM_14","scGPT"
308,"gene926","926","CD8B","FM_04","scGPT"
309,"gene6633","6633","SNRPD2","FM_10","scGPT"
310,"gene81027","81027","TUBB1","FM_20","scGPT"
311,"gene6773","6773","STAT2","FM_09","scGPT"
312,"gene6281","6281","S100A10","FM_11","scGPT"
313,"gene5997","5997","RGS2","FM_07","scGPT"
314,"gene7226","7226","TRPM2","FM_03","scGPT"
315,"gene129685","129685","TAF8","FM_02","scGPT"
316,"gene8460","8460","TPST1","FM_01","scGPT"
317,"gene4082","4082","MARCKS","FM_07","scGPT"
318,"gene80097","80097","MZT2B","FM_10","scGPT"
319,"gene22934","22934","RPIA","FM_08","scGPT"
320,"gene4354","4354","MPP1","FM_08","scGPT"
321,"gene388","388","RHOB","FM_07","scGPT"
322,"gene9246","9246","UBE2L6","FM_09","scGPT"
323,"gene7852","7852","CXCR4","FM_07","scGPT"
324,"gene80310","80310","PDGFD","FM_01","scGPT"
325,"gene10622","10622","POLR3G","FM_03","scGPT"
326,"gene10135","10135","NAMPT","FM_07","scGPT"
327,"gene4778","4778","NFE2","FM_08","scGPT"
328,"gene160364","160364","CLEC12A","FM_12","scGPT"
329,"gene1912","1912","PHC2","FM_01","scGPT"
330,"gene10663","10663","CXCR6","FM_04","scGPT"
331,"gene9437","9437","NCR1","FM_04","scGPT"
332,"gene84649","84649","DGAT2","FM_16","scGPT"
333,"gene2624","2624","GATA2","FM_12","scGPT"
334,"gene3326","3326","HSP90AB1","FM_18","scGPT"
335,"gene5079","5079","PAX5","FM_14","scGPT"
336,"gene5208","5208","PFKFB2","FM_16","scGPT"
337,"gene353189","353189","SLCO4C1","FM_19","scGPT"
338,"gene3945","3945","LDHB","FM_10","scGPT"
339,"gene84174","84174","SLA2","FM_04","scGPT"
340,"gene3821","3821","KLRC1","FM_04","scGPT"
341,"gene356","356","FASLG","FM_04","scGPT"
342,"gene59352","59352","LGR6","FM_17","scGPT"
343,"gene6201","6201","RPS7","FM_05","scGPT"
344,"gene6164","6164","RPL34","FM_05","scGPT"
345,"gene3921","3921","RPSA","FM_05","scGPT"
346,"gene3576","3576","CXCL8","FM_07","scGPT"
347,"gene6227","6227","RPS21","FM_05","scGPT"
348,"gene7915","7915","ALDH5A1","FM_03","scGPT"
349,"gene684","684","BST2","FM_09","scGPT"
350,"gene80781","80781","COL18A1","FM_11","scGPT"
351,"gene6934","6934","TCF7L2","FM_17","scGPT"
352,"gene338440","338440","ANO9","FM_02","scGPT"
353,"gene80216","80216","ALPK1","FM_16","scGPT"
354,"gene6515","6515","SLC2A3","FM_07","scGPT"
355,"gene1933","1933","EEF1B2","FM_05","scGPT"
356,"gene400916","400916","CHCHD10","FM_10","scGPT"
357,"gene79689","79689","STEAP4","FM_07","scGPT"
358,"gene726","726","CAPN5","FM_02","scGPT"
359,"gene729359","729359","PLIN4","FM_16","scGPT"
360,"gene57610","57610","RANBP10","FM_03","scGPT"
361,"gene4064","4064","CD180","FM_13","scGPT"
362,"gene25873","25873","RPL36","FM_05","scGPT"
363,"gene1847","1847","DUSP5","FM_07","scGPT"
364,"gene8291","8291","DYSF","FM_03","scGPT"
365,"gene51523","51523","CXXC5","FM_13","scGPT"
366,"gene3070","3070","HELLS","FM_06","scGPT"
367,"gene6036","6036","RNASE2","FM_12","scGPT"
368,"gene11123","11123","RCAN3","FM_04","scGPT"
369,"gene10581","10581","IFITM2","FM_11","scGPT"
370,"gene50509","50509","COL5A3","FM_17","scGPT"
371,"gene9975","9975","NR1D2","FM_01","scGPT"
372,"gene5464","5464","PPA1","FM_06","scGPT"
373,"gene140803","140803","TRPM6","FM_17","scGPT"
374,"gene6846","6846","XCL2","FM_04","scGPT"
375,"gene4537","4537","MT-ND3","FM_05","scGPT"
376,"gene3490","3490","IGFBP7","FM_11","scGPT"
377,"gene84766","84766","CRACR2A","FM_02","scGPT"
378,"gene944","944","TNFSF8","FM_04","scGPT"
379,"gene366","366","AQP9","FM_16","scGPT"
380,"gene9934","9934","P2RY14","FM_03","scGPT"
381,"gene7846","7846","TUBA1A","FM_18","scGPT"
382,"gene6478","6478","SIAH2","FM_08","scGPT"
383,"gene6171","6171","RPL41","FM_05","scGPT"
384,"gene6152","6152","RPL24","FM_05","scGPT"
385,"gene360","360","AQP3","FM_11","scGPT"
386,"gene2214","2214","FCGR3A","FM_15","scGPT"
387,"gene3004","3004","GZMM","FM_04","scGPT"
388,"gene5494","5494","PPM1A","FM_01","scGPT"
389,"gene1232","1232","CCR3","FM_02","scGPT"
390,"gene4953","4953","ODC1","FM_06","scGPT"
391,"gene3274","3274","HRH2","FM_03","scGPT"
392,"gene5577","5577","PRKAR2B","FM_01","scGPT"
393,"gene9254","9254","CACNA2D2","FM_03","scGPT"
394,"gene915","915","CD3D","FM_04","scGPT"
395,"gene3123","3123","HLA-DRB1","FM_14","scGPT"
396,"gene154","154","ADRB2","FM_04","scGPT"
397,"gene929","929","CD14","FM_12","scGPT"
398,"gene3577","3577","CXCR1","FM_16","scGPT"
399,"gene1880","1880","GPR183","FM_14","scGPT"
400,"gene6204","6204","RPS10","FM_05","scGPT"
401,"gene6224","6224","RPS20","FM_05","scGPT"
402,"gene126231","126231","ZNF573","FM_03","scGPT"
403,"gene57514","57514","ARHGAP31","FM_17","scGPT"
404,"gene31","31","ACACA","FM_01","scGPT"
405,"gene1870","1870","E2F2","FM_02","scGPT"
406,"gene10449","10449","ACAA2","FM_06","scGPT"
407,"gene114907","114907","FBXO32","FM_01","scGPT"
408,"gene6139","6139","RPL17","FM_05","scGPT"
409,"gene79887","79887","PLBD1","FM_12","scGPT"
410,"gene2793","2793","GNGT2","FM_13","scGPT"
411,"gene2059","2059","EPS8","FM_07","scGPT"
412,"gene8334","8334","H2AC6","FM_20","scGPT"
413,"gene3613","3613","IMPA2","FM_16","scGPT"
414,"gene170622","170622","COMMD6","FM_10","scGPT"
415,"gene2550","2550","GABBR1","FM_03","scGPT"
416,"gene3572","3572","IL6ST","FM_07","scGPT"
417,"gene2950","2950","GSTP1","FM_10","scGPT"
418,"gene2081","2081","ERN1","FM_07","scGPT"
419,"gene4792","4792","NFKBIA","FM_07","scGPT"
420,"gene9398","9398","CD101","FM_02","scGPT"
421,"gene3028","3028","HSD17B10","FM_06","scGPT"
422,"gene6241","6241","RRM2","FM_06","scGPT"
423,"gene23401","23401","FRAT2","FM_16","scGPT"
424,"gene8794","8794","TNFRSF10C","FM_16","scGPT"
425,"gene22800","22800","RRAS2","FM_03","scGPT"
426,"gene3398","3398","ID2","FM_07","scGPT"
427,"gene4068","4068","SH2D1A","FM_04","scGPT"
428,"gene6286","6286","S100P","FM_12","scGPT"
429,"gene157285","157285","PRAG1","FM_03","scGPT"
430,"gene3340","3340","NDST1","FM_02","scGPT"
431,"gene85441","85441","HELZ2","FM_09","scGPT"
432,"gene6144","6144","RPL21","FM_05","scGPT"
433,"gene8638","8638","OASL","FM_09","scGPT"
434,"gene54407","54407","SLC38A2","FM_07","scGPT"
435,"gene81794","81794","ADAMTS10","FM_03","scGPT"
436,"gene6272","6272","SORT1","FM_01","scGPT"
437,"gene445582","445582","POTEE","FM_02","scGPT"
438,"gene1345","1345","COX6C","FM_10","scGPT"
439,"gene6146","6146","RPL22","FM_05","scGPT"
440,"gene514","514","ATP5F1E","FM_10","scGPT"
